"EL";"UN";"Metodo";"LDI";"DIG";"Nome";"UCC"
"Ag";"ppm";"ICM14B";0,01;2;"Prata";0,053
"Al";"pct";"ICM14B";0,01;2;"Alumínio";8,15
"As";"ppm";"ICM14B";1;0;"Arsênio";4,8
"Au";"ppm";"ICM14B";0,1;1;"Ouro";0,0015
"B";"ppm";"ICM14B";10;0;"Boro";17
"Ba";"ppm";"ICM14B";5;0;"Bário";624
"Be";"ppm";"ICM14B";0,1;1;"Berílio";2,1
"Bi";"ppm";"ICM14B";0,02;2;"Bismuto";0,16
"Ca";"pct";"ICM14B";0,01;2;"Cálcio";2,57
"Cd";"ppm";"ICM14B";0,01;2;"Cádmio";0,09
"Ce";"ppm";"ICM14B";0,05;2;"Cério";63
"Co";"ppm";"ICM14B";0,1;1;"Cobalto";17,3
"Cr";"ppm";"ICM14B";1;0;"Cromo";92
"Cs";"ppm";"ICM14B";0,05;2;"Césio";4,9
"Cu";"ppm";"ICM14B";0,5;1;"Cobre";28
"Fe";"pct";"ICM14B";0,01;2;"Ferro";3,92
"Ga";"ppm";"ICM14B";0,1;1;"Gálio";17,5
"Ge";"ppm";"ICM14B";0,1;1;"Germânio";1,4
"Hf";"ppm";"ICM14B";0,05;2;"Háfnio";5,3
"In";"ppm";"ICM14B";0,02;2;"Índio";0,06
"K";"pct";"ICM14B";0,01;2;"Potássio";2,32
"La";"ppm";"ICM14B";0,1;1;"Lantânio";31
"Li";"ppm";"ICM14B";1;0;"Lítio";21
"Lu";"ppm";"ICM14B";0,01;2;"Lutécio";0,34
"Mg";"pct";"ICM14B";0,01;2;"Magnésio";0,06
"Mn";"ppm";"ICM14B";5;0;"Manganês";19200
"Mo";"ppm";"ICM14B";0,05;2;"Molibdênio";1,1
"Na";"pct";"ICM14B";0,01;2;"Sódio";2,43
"Nb";"ppm";"ICM14B";0,05;2;"Nióbio";12
"Ni";"ppm";"ICM14B";0,5;1;"Níquel";47
"P";"ppm";"ICM14B";50;0;"Fósforo";655
"Pb";"ppm";"ICM14B";0,2;1;"Chumbo";17
"Rb";"ppm";"ICM14B";0,2;1;"Rubídio";84
"Re";"ppm";"ICM14B";0,1;1;"Rênio";0,000198
"S";"pct";"ICM14B";0,01;2;"Enxofre";0,06
"Sb";"ppm";"ICM14B";0,05;2;"Antimônio";0,4
"Sc";"ppm";"ICM14B";0,1;1;"Escândio";14
"Se";"ppm";"ICM14B";1;0;"Selênio";0,09
"Sn";"ppm";"ICM14B";0,3;1;"Estanho";2,1
"Sr";"ppm";"ICM14B";0,5;1;"Estrôncio";320
"Ta";"ppm";"ICM14B";0,05;2;"Tântalo";0,9
"Tb";"ppm";"ICM14B";0,02;2;"Térbio";0,8
"Te";"ppm";"ICM14B";0,05;2;"Telúrio";NA
"Th";"ppm";"ICM14B";0,1;1;"Tório";10,5
"Ti";"pct";"ICM14B";0,01;2;"Titânio";0,38
"Tl";"ppm";"ICM14B";0,02;2;"Tálio";0,9
"U";"ppm";"ICM14B";0,05;2;"Urânio";2,7
"V";"ppm";"ICM14B";1;0;"Vanádio";97
"W";"ppm";"ICM14B";0,1;1;"Tungstênio";1,9
"Y";"ppm";"ICM14B";0,05;2;"Ítrio";21
"Yb";"ppm";"ICM14B";0,1;1;"Itérbio";3,4
"Zn";"ppm";"ICM14B";1;0;"Zinco";67
"Zr";"ppm";"ICM14B";0,5;1;"Zircônio";193
